Tag,MayRank,TotalRank,QuestionsInMay,QuestionsTotal
"log4j","867","745","74","6845"
"install","877","853","73","5822"
"initialization","878","679","73","7574"
"qt5","876","1147","73","4180"
"report","875","918","73","5443"
"f#","879","473","73","11393"
"delegates","881","577","73","8998"
"momentjs","874","1492","73","3096"
"c++1z","880","4042","73","862"
"apache-flink","885","3568","72","1015"
"aws-api-gateway","883","3134","72","1216"
"carousel","882","1311","72","3615"
"listbox","887","547","72","9665"
"gwt","886","275","72","20129"
"sails.js","888","929","72","5320"
"websphere","891","965","72","5114"
"android-animation","884","1141","72","4215"
"mono","890","587","72","8827"
"segmentation-fault","889","649","72","7965"
"set","895","713","71","7165"
"jms","901","866","71","5722"
"ip","903","788","71","6434"
"in-app-purchase","900","777","71","6564"
"spring-integration","894","1126","71","4271"
"pyqt4","897","1036","71","4703"
"jax-rs","902","916","71","5450"
"latex","899","882","71","5631"
"streaming","892","898","71","5550"
"sparql","893","1415","71","3292"
"hosting","904","1276","71","3696"
"rdd","898","2181","71","1933"
"router","896","2287","71","1828"
"babel","905","3913","71","904"
"google-cloud-dataflow","906","3343","70","1116"
"magento-1.9","907","1744","70","2563"
"timeout","909","753","70","6753"
"synchronization","908","681","70","7524"
"stack","911","714","69","7154"
"widget","913","704","69","7261"
"textview","910","624","69","8352"
"arguments","917","763","69","6679"
"concatenation","920","1039","69","4699"
"yii","914","340","69","15908"
"instagram","916","1333","69","3518"
"shinyapps","915","3456","69","1060"
"webpack-dev-server","912","3054","69","1257"
"dropdown","919","2561","69","1590"
"boto3","918","3556","69","1020"
"drupal-8","921","3519","68","1033"
"gpu","924","1286","68","3680"
"spring-batch","931","1263","68","3742"
"fabricjs","925","1735","68","2576"
"theano","932","1943","68","2229"
"pug","927","1084","68","4480"
"logic","923","878","68","5652"
"pivot","929","933","68","5298"
"max","922","989","68","5000"
"pattern-matching","930","826","68","6029"
"nosql","928","632","68","8192"
"slider","926","712","68","7177"
"order","938","695","67","7337"
"gruntjs","943","592","67","8697"
"queue","939","759","67","6705"
"boolean","948","730","67","6970"
"shared-libraries","941","982","67","5035"
"left-join","945","1032","67","4714"
"match","944","1045","67","4674"
"sharepoint-2013","940","1129","67","4266"
"eclipse-plugin","947","536","67","9958"
"textbox","933","526","67","10268"
"stanford-nlp","934","1908","67","2277"
"storage","935","1201","67","3977"
"jinja2","946","1378","67","3400"
"passport.js","937","1493","67","3089"
"stripe-payments","936","1484","67","3108"
"fetch","942","1613","67","2820"
"atom-editor","949","2336","67","1775"
"ejs","952","2380","66","1741"
"tomcat8","962","2627","66","1543"
"codenameone","954","1782","66","2490"
"amazon-redshift","951","2041","66","2109"
"floating-point","958","556","66","9345"
"drupal-7","953","564","66","9200"
"opencart","961","1125","66","4275"
"yaml","964","1139","66","4217"
"iteration","955","894","66","5575"
"treeview","963","726","66","7012"
"fragment","959","845","66","5866"
"app-store","950","843","66","5897"
"imageview","956","642","66","8056"
"find","957","698","66","7326"
"save","960","715","66","7111"
"prolog","970","619","65","8425"
"g++","971","744","65","6859"
"itunesconnect","973","1148","65","4177"
"uinavigationcontroller","965","554","65","9387"
"rotation","969","573","65","9049"
"insert","972","496","65","10871"
"aws-sdk","975","2090","65","2056"
"mqtt","968","2177","65","1939"
"ocr","967","1586","65","2886"
"sublimetext3","966","1188","65","4019"
"markdown","974","1246","65","3800"
"port","987","1161","64","4132"
"karma-runner","978","1336","64","3512"
"cluster-analysis","976","1483","64","3108"
"subset","989","1446","64","3209"
"reactive-programming","984","1878","64","2331"
"uiwebview","990","522","64","10310"
"jsf-2","979","343","64","15823"
"dynamics-crm","977","1122","64","4286"
"excel-2010","982","1014","64","4813"
"runtime-error","985","923","64","5376"
"polymorphism","988","767","64","6639"
"pipe","986","863","64","5742"
"tinymce","991","808","64","6194"
"wix","992","648","64","7994"
"event-handling","983","594","64","8675"
"hover","981","666","64","7772"
"hadoop2","980","2647","64","1527"
"jframe","1000","665","63","7780"
"numbers","996","659","63","7862"
"odbc","995","828","63","6008"
"filesystems","999","766","63","6647"
"window","993","756","63","6712"
"testng","994","1042","63","4692"
"file-io","998","302","63","17940"
"mfc","997","521","63","10310"
"scheduled-tasks","1011","1097","62","4429"
"blob","1008","1108","62","4372"
"weblogic","1013","1009","62","4846"
"html5-video","1005","964","62","5117"
"webserver","1012","837","62","5940"
"ejb","1007","856","62","5813"
"return","1010","719","62","7079"
"javascript-objects","1002","1852","62","2382"
"flask-sqlalchemy","1004","1816","62","2440"
"google-places-api","1006","1427","62","3261"
"filtering","1003","1160","62","4144"
"jekyll","1001","1295","62","3656"
"angularfire2","1009","4043","62","861"
"bokeh","1016","2851","61","1379"
"hiveql","1018","2469","61","1667"
"integration-testing","1020","1258","61","3760"
"gdb","1017","710","61","7200"
"resources","1015","678","61","7585"
"telerik","1014","622","61","8381"
"imagemagick","1021","811","61","6165"
"emacs","1019","359","61","15191"
"connection","1032","752","60","6754"
"command","1030","735","60","6933"
"zip","1040","792","60","6350"
"web-config","1038","711","60","7192"
"ipython","1022","958","60","5138"
"odata","1037","1012","60","4823"
"apache2","1027","870","60","5707"
"deserialization","1028","1086","60","4477"
"cluster-computing","1029","1282","60","3688"
"histogram","1024","1397","60","3348"
"generator","1025","1341","60","3501"
"prestashop","1034","1306","60","3629"
"webstorm","1039","1555","60","2964"
"single-page-application","1036","1719","60","2619"
"azure-storage-blobs","1026","1944","60","2226"
"py.test","1035","2498","60","1642"
"powerbi","1033","2841","60","1386"
"material-ui","1023","3236","60","1170"
"conda","1031","3898","60","910"
"google-tag-manager","1051","2455","59","1674"
"linear-regression","1053","2286","59","1828"
"navbar","1045","1587","59","2883"
"openshift","1042","1164","59","4121"
"version","1041","1169","59","4100"
"activemq","1048","1170","59","4092"
"google-maps-markers","1050","1221","59","3897"
"output","1043","899","59","5548"
"global-variables","1052","897","59","5557"
"sharedpreferences","1046","995","59","4960"
"geometry","1049","737","59","6911"
"namespaces","1044","566","59","9183"
"dialog","1047","549","59","9566"
"windows-7","1063","507","58","10547"
"zend-framework","1062","276","58","20124"
"expression","1055","963","58","5121"
"closures","1058","876","58","5665"
"adb","1056","1077","58","4502"
"parameter-passing","1060","1022","58","4777"
"css-animations","1057","1408","58","3318"
"google-compute-engine","1054","1624","58","2806"
"ssrs-2012","1061","2202","58","1913"
"redux-form","1059","4145","58","830"
"iot","1078","2764","57","1444"
"angular-routing","1072","3317","57","1128"
"semantic-ui","1066","2922","57","1332"
"cpanel","1069","1626","57","2799"
"monitoring","1064","1628","57","2794"
"android-notifications","1073","1592","57","2872"
"data-visualization","1070","1700","57","2649"
"cakephp-3.0","1075","1453","57","3200"
"analytics","1071","1490","57","3100"
"powerpoint","1065","1382","57","3383"
"case","1074","1107","57","4375"
"mapping","1076","877","57","5661"
"label","1077","836","57","5945"
"click","1067","717","57","7104"
"integer","1079","672","57","7641"
"cocoa-touch","1068","150","57","34049"
"coldfusion","1090","463","56","11631"
"sql-server-2008-r2","1093","524","56","10299"
"char","1091","611","56","8499"
"compression","1089","824","56","6042"
"broadcastreceiver","1083","787","56","6444"
"liferay","1080","910","56","5496"
"tcl","1094","955","56","5152"
"tooltip","1095","994","56","4960"
"android-camera","1085","974","56","5075"
"apache-pig","1084","1016","56","4806"
"adobe","1086","1043","56","4684"
"uicollectionviewcell","1096","1631","56","2785"
"cython","1087","1736","56","2575"
"es6-promise","1082","3060","56","1255"
"materializecss","1081","3286","56","1140"
"react-jsx","1092","2296","56","1817"
"devops","1088","3724","56","964"
"log4j2","1113","2316","55","1799"
"php-7","1107","3048","55","1260"
"image-uploading","1115","1826","55","2427"
"travis-ci","1097","1835","55","2413"
"nodes","1106","1377","55","3401"
"real-time","1102","1410","55","3307"
"owin","1108","1323","55","3552"
"metadata","1104","1195","55","4006"
"angular-ui-bootstrap","1109","1180","55","4061"
"virtualenv","1098","1267","55","3725"
"signals","1103","1023","55","4770"
"notepad++","1105","1031","55","4720"
"avfoundation","1110","1110","55","4367"
"backup","1111","1130","55","4247"
"user","1099","821","55","6082"
"windows-installer","1101","798","55","6287"
"key","1114","835","55","5950"
"uiimage","1100","650","55","7949"
"erlang","1112","685","55","7484"
"less","1116","833","54","5964"
"hex","1119","809","54","6181"
"gtk","1120","816","54","6113"
"subquery","1127","823","54","6055"
"png","1124","1029","54","4727"
"row","1125","1048","54","4655"
"handlebars.js","1121","932","54","5301"
"out-of-memory","1122","925","54","5368"
"token","1126","1248","54","3792"
"linkedin","1117","1491","54","3096"
"gis","1118","1451","54","3204"
"openpyxl","1123","3273","54","1151"
"azure-documentdb","1142","3344","53","1115"
"python-multiprocessing","1137","3145","53","1209"
"bar-chart","1141","1488","53","3102"
"svm","1128","1556","53","2959"
"ssas","1130","1227","53","3889"
"accessibility","1145","1368","53","3441"
"slice","1135","1786","53","2484"
"themes","1132","908","53","5499"
"character","1146","976","53","5066"
"database-connection","1151","988","53","5006"
"try-catch","1133","952","53","5167"
"android-webview","1144","960","53","5130"
"jsoup","1140","972","53","5086"
"task","1129","1025","53","4765"
"buffer","1143","1071","53","4512"
"scrollview","1134","1072","53","4512"
"mpi","1138","1119","53","4302"
"cross-platform","1149","1101","53","4395"
"repository","1136","831","53","5990"
"sms","1131","817","53","6103"
"cygwin","1150","810","53","6179"
"content-management-system","1148","814","53","6137"
"locking","1139","799","53","6286"
"compare","1147","785","53","6477"
"pthreads","1165","797","52","6311"
"glassfish","1160","733","52","6936"
"jetty","1158","867","52","5714"
"int","1156","683","52","7499"
"prepared-statement","1166","1121","52","4294"
"touch","1167","917","52","5450"
"facebook-login","1162","1846","52","2394"
"mapbox","1155","1953","52","2217"
"docusignapi","1153","1973","52","2195"
"outlook-vba","1163","2095","52","2048"
"java.util.scanner","1157","1190","52","4017"
"spreadsheet","1168","1704","52","2644"
"google-analytics-api","1161","1677","52","2683"
"odoo-9","1164","3450","52","1063"
"talend","1169","2716","52","1484"
"github-pages","1159","2730","52","1468"
"convolution","1154","3554","52","1022"
"display","1152","3928","52","897"
"amazon-cognito","1192","3634","51","995"
"dagger-2","1189","3675","51","982"
"visualization","1172","1611","51","2829"
"list-comprehension","1182","1599","51","2856"
"pymongo","1173","1578","51","2906"
"language-lawyer","1186","1563","51","2944"
"listener","1183","1187","51","4026"
"driver","1188","1200","51","3980"
"xslt-1.0","1171","1205","51","3970"
"llvm","1181","1261","51","3749"
"adapter","1190","1265","51","3740"
"transform","1170","1284","51","3684"
"linux-device-driver","1184","1431","51","3255"
"automapper","1193","1349","51","3482"
"oracle-sqldeveloper","1177","1356","51","3464"
"aem","1191","1894","51","2305"
"registry","1176","930","51","5320"
"cross-domain","1187","978","51","5049"
"mingw","1179","1065","51","4547"
"requirejs","1174","720","51","7076"
"jtable","1185","696","51","7332"
"resize","1175","689","51","7417"
"icons","1180","783","51","6500"
"parse.com","1178","288","51","18794"
"ruby-on-rails-3","1205","82","50","55542"
"jquery-plugins","1200","417","50","12743"
"documentation","1196","768","50","6632"
"django-admin","1197","778","50","6563"
"mule","1203","868","50","5711"
"uikit","1207","815","50","6136"
"alignment","1194","822","50","6062"
"printf","1204","827","50","6012"
"aes","1195","1137","50","4222"
"media-queries","1202","935","50","5265"
"vmware","1206","1882","50","2325"
"matlab-figure","1199","1781","50","2490"
"verilog","1209","1367","50","3443"
"jpeg","1201","1319","50","3574"
"lxml","1198","1418","50","3285"
"vaadin","1208","1274","50","3703"
"grouping","1224","1289","49","3675"
"processing","1220","1174","49","4084"
"xquery","1213","1406","49","3322"
"phpmailer","1222","1428","49","3258"
"protocol-buffers","1219","1450","49","3204"
"reverse-proxy","1216","1909","49","2276"
"spotify","1211","2036","49","2116"
"runtime","1215","914","49","5469"
"2d","1226","979","49","5043"
"progress-bar","1218","942","49","5238"
"teamcity","1210","1052","49","4635"
"http-status-code-404","1223","1069","49","4528"
"byte","1227","1021","49","4784"
"ef-code-first","1225","708","49","7232"
"node-modules","1221","3491","49","1047"
"service-worker","1217","3858","49","922"
"windows-server-2012-r2","1214","3826","49","933"
"webhooks","1212","3238","49","1168"
"uwp-xaml","1250","3419","48","1081"
"seaborn","1246","3006","48","1284"
"microsoft-edge","1241","2592","48","1561"
"telegram-bot","1248","3959","48","889"
"acumatica","1230","4041","48","862"
"windows-services","1247","718","48","7091"
"angularjs-scope","1231","623","48","8379"
"position","1239","742","48","6862"
"httprequest","1235","1047","48","4668"
"uri","1252","1127","48","4268"
"chat","1232","1152","48","4175"
"clang","1233","943","48","5215"
"uilabel","1251","875","48","5683"
"javascript-events","1238","389","48","13883"
"blade","1228","2051","48","2101"
"python-import","1244","2200","48","1914"
"backend","1229","1980","48","2184"
"teradata","1249","1738","48","2575"
"font-awesome","1237","1730","48","2581"
"fft","1236","1439","48","3230"
"octave","1240","1478","48","3121"
"puppet","1242","1535","48","3001"
"homebrew","1234","1407","48","3319"
"response","1245","1354","48","3474"
"push","1243","1231","48","3856"
"vhdl","1253","1254","47","3775"
"signal-processing","1259","1322","47","3553"
"config","1268","1375","47","3412"
"cell","1267","1380","47","3393"
"load-balancing","1266","1529","47","3016"
"word-vba","1257","1573","47","2919"
"relationship","1260","1548","47","2986"
"tesseract","1255","2060","47","2092"
"uibutton","1254","560","47","9289"
"backbone.js","1271","271","47","20395"
"devexpress","1270","887","47","5609"
"echo","1269","1146","47","4183"
"rendering","1261","1124","47","4277"
"rss","1258","725","47","7019"
"jpanel","1264","803","47","6261"
"malloc","1265","858","47","5775"
"tableviewcell","1256","3499","47","1044"
"mean","1262","2350","47","1764"
"netsuite","1263","2375","47","1746"
"amazon-rds","1273","2709","46","1488"
"sitecore","1283","865","46","5734"
"seo","1284","727","46","6999"
"thread-safety","1285","774","46","6602"
"mapkit","1275","1074","46","4508"
"comparison","1274","871","46","5705"
"operators","1281","936","46","5254"
"relational-database","1282","1011","46","4825"
"jquery-mobile","1276","242","46","22758"
"vb6","1286","565","46","9184"
"fxml","1280","2047","46","2104"
"updates","1287","1821","46","2430"
"aggregate","1272","1400","46","3335"
"google-oauth","1279","1294","46","3657"
"umbraco","1288","1345","46","3496"
"hook","1277","1253","46","3775"
"gzip","1278","1225","46","3891"
"condition","1303","1352","45","3477"
"alarmmanager","1305","1383","45","3379"
"soapui","1293","1503","45","3081"
"bower","1309","1518","45","3037"
"speech-recognition","1292","1523","45","3023"
"rdlc","1296","1844","45","2397"
"stata","1294","1776","45","2499"
"multipartform-data","1298","2043","45","2107"
"blogger","1307","2173","45","1947"
"access-token","1306","2282","45","1830"
"substring","1289","937","45","5253"
"many-to-many","1300","880","45","5643"
"escaping","1299","794","45","6331"
"load","1301","847","45","5861"
"spring-cloud","1291","2687","45","1503"
"eigen","1304","2583","45","1571"
"raspbian","1297","2522","45","1623"
"swagger-ui","1290","3274","45","1148"
"stm32","1295","3303","45","1133"
"kafka-consumer-api","1302","3674","45","984"
"bitcoin","1308","3926","45","898"
"prediction","1326","3428","44","1076"
"advanced-custom-fields","1311","2467","44","1669"
"gmail-api","1320","2374","44","1747"
"instagram-api","1316","2600","44","1558"
"youtube-data-api","1330","2813","44","1406"
"storyboard","1328","668","44","7689"
"wamp","1333","1067","44","4543"
"console-application","1312","1134","44","4236"
"vsto","1332","1116","44","4332"
"jqgrid","1315","520","44","10347"
"export-to-csv","1318","2162","44","1963"
"kerberos","1313","2151","44","1983"
"performance-testing","1323","1771","44","2504"
"avplayer","1310","1831","44","2420"
"postgis","1322","1861","44","2371"
"formula","1319","1538","44","2999"
"windows-azure-storage","1331","1557","44","2959"
"python-imaging-library","1325","1442","44","3218"
"extract","1317","1460","44","3159"
"mvvmcross","1321","1627","44","2796"
"state","1329","1634","44","2778"
"resharper","1324","1192","44","4012"
"line","1314","1181","44","4037"
"segue","1327","1177","44","4074"
"android-linearlayout","1366","1222","43","3896"
"maven-3","1353","1250","43","3789"
"google-calendar","1344","1235","43","3847"
"static-libraries","1335","1398","43","3342"
"binary-search-tree","1367","1346","43","3495"
"javamail","1351","1303","43","3634"
"sql-azure","1336","1315","43","3591"
"dynamic-programming","1359","1647","43","2751"
"innodb","1350","1468","43","3150"
"nfc","1342","1559","43","2954"
"code-coverage","1356","1506","43","3071"
"embedded-linux","1349","1815","43","2441"
"drools","1358","1794","43","2475"
"payment","1341","1967","43","2200"
"apply","1363","1912","43","2274"
"redhat","1340","1933","43","2246"
"com","1355","532","43","10119"
"webgl","1334","1112","43","4350"
"glsl","1343","1017","43","4797"
"schema","1338","1034","43","4709"
"android-service","1365","990","43","4993"
"client-server","1357","950","43","5178"
"cross-browser","1354","658","43","7883"
"ado.net","1362","621","43","8385"
"double","1360","852","43","5824"
"applescript","1364","832","43","5988"
"uitextfield","1337","772","43","6604"
"foreign-keys","1346","749","43","6785"
"cursor","1361","755","43","6721"
"heatmap","1345","2356","43","1762"
"scrapy-spider","1339","3420","43","1080"
"logistic-regression","1352","3200","43","1183"
"elk-stack","1348","3927","43","898"
"esp8266","1347","3980","43","882"
"rx-android","1390","3780","42","946"
"recycler-adapter","1389","3628","42","997"
"opencv3.0","1386","2983","42","1297"
"chai","1372","3133","42","1216"
"wkwebview","1396","3107","42","1226"
"google-signin","1379","3059","42","1255"
"windows-10-universal","1395","2368","42","1750"
"augmented-reality","1368","2480","42","1658"
"scenekit","1391","2496","42","1643"
"k-means","1376","2494","42","1646"
"dropzone.js","1371","2626","42","1544"
"masm","1374","2693","42","1498"
"artifactory","1369","2694","42","1496"
"type-conversion","1394","846","42","5863"
"ms-access-2010","1383","962","42","5121"
"exec","1378","1140","42","4216"
"user-controls","1393","572","42","9056"
"openlayers","1388","1799","42","2465"
"crm","1373","1823","42","2428"
"geospatial","1380","1780","42","2491"
"nvidia","1385","2272","42","1838"
"android-permissions","1370","2254","42","1864"
"phpexcel","1384","1532","42","3008"
"knitr","1375","1616","42","2816"
"mips","1382","1310","42","3618"
"integration","1377","1331","42","3519"
"netty","1381","1413","42","3299"
"shader","1392","1194","42","4010"
"opencl","1387","1163","42","4122"
"coordinates","1412","1165","41","4111"
"query-optimization","1403","1166","41","4110"
"css-transitions","1411","1186","41","4026"
"common-lisp","1414","1198","41","3982"
"folder","1407","1211","41","3956"
"bundle","1423","1236","41","3846"
"subdomain","1401","1233","41","3849"
"appcelerator","1417","1425","41","3262"
"translation","1399","1392","41","3355"
"android-mediaplayer","1416","1369","41","3441"
"csrf","1410","1673","41","2690"
"alert","1418","1562","41","2946"
"geojson","1406","2243","41","1873"
"vpn","1398","2292","41","1820"
"sparse-matrix","1400","1945","41","2225"
"background-image","1421","1144","41","4199"
"android-manifest","1415","1155","41","4161"
"capybara","1424","1050","41","4651"
"structure","1402","1066","41","4547"
"couchdb","1409","1008","41","4850"
"operator-overloading","1404","896","41","5570"
"yii2-advanced-app","1397","2865","41","1365"
"marklogic","1408","2501","41","1640"
"middleware","1405","2521","41","1623"
"cloudfoundry","1413","2476","41","1665"
"bioinformatics","1422","2323","41","1790"
"arduino-uno","1419","3240","41","1164"
"avro","1420","3250","41","1162"
"spring-security-oauth2","1446","3179","40","1193"
"hybrid-mobile-app","1434","2544","40","1607"
"core","1428","2850","40","1380"
"scenebuilder","1445","3624","40","999"
"osgi","1440","973","40","5076"
"size","1444","944","40","5209"
"facebook-javascript-sdk","1437","1058","40","4570"
"full-text-search","1435","841","40","5925"
"linq-to-sql","1430","394","40","13735"
"azure-mobile-services","1425","1925","40","2257"
"web-deployment","1450","1822","40","2430"
"vlookup","1448","2232","40","1880"
"web-hosting","1449","2141","40","1992"
"legend","1432","2052","40","2100"
"codeblocks","1427","1550","40","2980"
"combinations","1426","1464","40","3154"
"exe","1436","1465","40","3153"
"vectorization","1447","1486","40","3105"
"payment-gateway","1442","1703","40","2646"
"sftp","1443","1648","40","2750"
"lazy-loading","1431","1384","40","3376"
"href","1438","1388","40","3369"
"inno-setup","1433","1417","40","3286"
"openmp","1441","1285","40","3684"
"open-source","1439","1293","40","3666"
"css-position","1429","1214","40","3944"
"inner-join","1468","1219","39","3907"
"undefined","1453","1202","39","3975"
"binary-tree","1478","1243","39","3809"
"call","1477","1251","39","3782"
"project","1458","1419","39","3281"
"exchange-server","1464","1401","39","3334"
"render","1457","1590","39","2879"
"digital-signature","1474","2123","39","2012"
"apache-zookeeper","1479","2100","39","2042"
"decode","1475","1829","39","2425"
"httpresponse","1461","1850","39","2384"
"simulation","1456","1765","39","2514"
"crud","1470","1954","39","2217"
"oracle-apex","1459","1961","39","2211"
"singleton","1455","800","39","6286"
"include","1467","677","39","7596"
"cxf","1472","1057","39","4583"
"uinavigationbar","1452","1053","39","4634"
"javafx-2","1469","1033","39","4714"
"decimal","1476","1019","39","4793"
"editor","1471","1020","39","4788"
"gnuplot","1463","1118","39","4310"
"mouseevent","1460","1093","39","4458"
"ibm-mobilefirst","1466","888","39","5607"
"forecasting","1465","4119","39","838"
"google-cloud-sql","1462","2874","39","1357"
"digital-ocean","1473","2849","39","1380"
"wso2-am","1451","2751","39","1451"
"spyder","1454","3199","39","1184"
"android-tablayout","1480","3365","39","1108"
"oracle12c","1496","3106","38","1227"
"weblogic12c","1508","3095","38","1232"
"curve-fitting","1484","2769","38","1438"
"lapply","1489","2823","38","1398"
"prestashop-1.6","1501","2708","38","1488"
"amazon-cloudfront","1481","2453","38","1676"
"google-container-engine","1493","4133","38","832"
"elm","1491","3730","38","962"
"google-cloud-datastore","1494","890","38","5601"
"pdf-generation","1499","931","38","5308"
"httpwebrequest","1488","1018","38","4794"
"entity","1492","1049","38","4654"
"cgi","1487","1085","38","4479"
"outlook-addin","1497","1960","38","2212"
"browserify","1483","1745","38","2562"
"urllib","1506","2064","38","2090"
"openlayers-3","1498","2080","38","2069"
"logback","1490","2033","38","2118"
"bouncycastle","1482","2256","38","1862"
"recaptcha","1503","2189","38","1923"
"toolbar","1507","1707","38","2640"
"cross-compiling","1486","1694","38","2660"
"scale","1504","1498","38","3085"
"qt-creator","1502","1335","38","3514"
"ssms","1505","1338","38","3508"
"e-commerce","1485","1239","38","3829"
"heap","1495","1196","38","3994"
"posix","1500","1208","38","3964"
"this","1512","1176","37","4075"
"hashtable","1532","1272","37","3714"
"overlay","1526","1353","37","3476"
"share","1515","1342","37","3501"
"powershell-v2.0","1519","1381","37","3386"
"emulator","1533","1549","37","2982"
"prism","1518","1569","37","2933"
"proguard","1521","1570","37","2929"
"return-value","1514","1530","37","3014"
"cpu","1540","1528","37","3017"
"multiple-columns","1528","1536","37","3000"
"command-prompt","1539","1720","37","2616"
"rdf","1516","1614","37","2819"
"netlogo","1529","2124","37","2011"
"jsf-2.2","1536","2145","37","1988"
"url-redirection","1513","1939","37","2237"
"override","1527","1079","37","4498"
"prototype","1520","1156","37","4158"
"c++-cli","1541","934","37","5269"
"nunit","1525","987","37","5018"
"zend-framework2","1509","617","37","8429"
"nhibernate","1530","297","37","18165"
"iis-7","1537","561","37","9281"
"coffeescript","1538","557","37","9342"
"python-unittest","1517","3779","37","946"
"openid-connect","1524","3859","37","922"
"lumen","1535","3948","37","892"
"tls1.2","1511","4134","37","832"
"gtk3","1531","2531","37","1617"
"mailchimp","1534","2369","37","1750"
"pdfbox","1522","2423","37","1697"
"xlsx","1510","2844","37","1383"
"paramiko","1523","3029","37","1272"
"firebase-security","1555","2967","36","1304"
"qtquick2","1564","2788","36","1422"
"sonata-admin","1571","2543","36","1608"
"future","1559","2477","36","1665"
"identityserver3","1550","3619","36","1001"
"preg-replace","1563","1002","36","4888"
"ssrs-2008","1569","941","36","5241"
"xmpp","1573","921","36","5396"
"servicestack","1565","1153","36","4168"
"text-files","1568","1081","36","4490"
"eclipse-rcp","1548","1073","36","4511"
"junit4","1554","1749","36","2554"
"gstreamer","1557","1784","36","2487"
"hardware","1556","1839","36","2406"
"pickle","1562","2101","36","2041"
"voip","1575","2078","36","2073"
"android-spinner","1546","1705","36","2643"
"autofac","1545","1697","36","2656"
"sql-injection","1570","1691","36","2666"
"rows","1566","1671","36","2691"
"ip-address","1552","1672","36","2690"
"calculator","1542","1682","36","2678"
"packages","1561","1657","36","2732"
"average","1543","1543","36","2990"
"django-queryset","1549","1527","36","3017"
"mdx","1560","1531","36","3013"
"counter","1547","1515","36","3042"
"screenshot","1567","1441","36","3227"
"inputstream","1551","1426","36","3261"
"system","1572","1329","36","3530"
"httpclient","1558","1304","36","3634"
"big-o","1544","1269","36","3718"
"workflow","1574","1185","36","4027"
"jbutton","1553","1204","36","3971"
"spinner","1578","1197","35","3993"
"unique","1581","1314","35","3593"
"navigation-drawer","1596","1324","35","3550"
"locale","1600","1360","35","3457"
"mysql-workbench","1595","1424","35","3264"
"customization","1601","1430","35","3257"
"xss","1576","1455","35","3193"
"stack-overflow","1579","1521","35","3026"
"permutation","1592","1591","35","2873"
"upgrade","1582","1619","35","2811"
"gif","1597","2077","35","2073"
"antlr4","1605","2164","35","1957"
"symfony-forms","1577","2273","35","1836"
"root","1585","1766","35","2510"
"paypal-sandbox","1590","1770","35","2505"
"pentaho","1591","1734","35","2576"
"uitextview","1583","1040","35","4695"
"comments","1603","1026","35","4763"
"toggle","1580","1150","35","4177"
"uitabbarcontroller","1584","924","35","5370"
"focus","1598","906","35","5512"
"sharepoint-2010","1586","602","35","8572"
"applet","1604","699","35","7306"
"amazon-cloudformation","1606","3535","35","1028"
"python-asyncio","1589","3992","35","879"
"eslint","1599","4055","35","857"
"networkx","1594","2449","35","1680"
"reshape","1587","2560","35","1591"
"python-sphinx","1588","2335","35","1778"
"microsoft-dynamics","1593","2707","35","1489"
"correlation","1602","2667","35","1515"
"liquid","1613","2630","34","1541"
"saml-2.0","1635","2604","34","1557"
"ejabberd","1611","2349","34","1764"
"nuget-package","1623","2422","34","1697"
"sqoop","1639","2432","34","1693"
"video-processing","1637","2454","34","1674"
"dropwizard","1612","2998","34","1288"
"random-forest","1632","2937","34","1323"
"ecto","1610","4225","34","808"
"powershell-v4.0","1630","3914","34","904"
"fs","1617","3886","34","913"
"amazon-iam","1607","3759","34","951"
"gaussian","1618","3470","34","1054"
"playframework-2.0","1627","747","34","6831"
"tomcat7","1638","961","34","5130"
"associations","1609","998","34","4944"
"ocaml","1629","1062","34","4558"
"game-engine","1619","1752","34","2552"
"wget","1641","1757","34","2537"
"physics","1626","1993","34","2171"
"h2","1621","1911","34","2275"
"simulink","1633","2176","34","1941"
"require","1631","2044","34","2106"
"google-docs","1620","2132","34","2003"
"expandablelistview","1616","1618","34","2812"
"native","1622","1638","34","2776"
"wildcard","1640","1581","34","2899"
"pom.xml","1628","1681","34","2679"
"imap","1615","1469","34","3149"
"sequence","1634","1475","34","3131"
"admin","1608","1412","34","3300"
"moq","1624","1379","34","3400"
"mouse","1625","1361","34","3456"
"keyboard-shortcuts","1614","1309","34","3628"
"url-routing","1636","1268","34","3722"
"android-arrayadapter","1680","1292","33","3669"
"converter","1678","1247","33","3794"
"warnings","1645","1237","33","3842"
"overflow","1656","1178","33","4068"
"facebook-php-sdk","1667","1391","33","3356"
"threadpool","1650","1516","33","3041"
"interpolation","1672","1713","33","2626"
"war","1644","1643","33","2762"
"social-networking","1647","2133","33","2003"
"kendo-asp.net-mvc","1673","2139","33","1996"
"barcode","1679","2065","33","2090"
"orientdb","1658","2067","33","2088"
"ssrs-2008-r2","1646","2188","33","1925"
"igraph","1669","2199","33","1914"
"mybatis","1662","2208","33","1912"
"odoo-8","1655","2299","33","1812"
"typeerror","1649","1890","33","2312"
"datetimepicker","1677","2010","33","2143"
"linear-algebra","1674","1965","33","2204"
"httpurlconnection","1670","1762","33","2526"
"executable","1666","1867","33","2356"
"export-to-excel","1665","1798","33","2466"
"memcached","1660","1054","33","4606"
"interop","1671","1030","33","4722"
"tdd","1648","980","33","5037"
"data-analysis","1676","3676","33","982"
"metrics","1659","3707","33","969"
"ef-migrations","1675","3786","33","944"
